shipper_name,quarter_number,Average_rating
Leexo,1,3.0000
Linkbridge,1,2.7500
Linkbridge,3,4.5000
Linkbuzz,1,3.0000
Linkbuzz,2,5.0000
Linkbuzz,3,2.5000
Linklinks,1,4.0000
Linklinks,3,3.0000
Linktype,1,4.0000
Linktype,3,4.0000
Livefish,2,1.0000
Livefish,4,2.0000
Livepath,1,5.0000
Livepath,3,3.0000
Livetube,1,4.0000
Livetube,2,4.0000
Livetube,3,2.0000
Livetube,4,2.5000
LiveZ,1,1.0000
LiveZ,3,4.0000
Meedoo,3,2.0000
Meejo,1,3.0000
Meejo,2,4.5000
Meembee,3,1.0000
Meemm,1,2.0000
Meetz,4,4.5000
Meevee,1,5.0000
Meeveo,1,5.0000
Meezzy,1,4.0000
Meezzy,4,3.0000
Miboo,1,4.5000
Miboo,3,2.0000
Midel,2,1.5000
Midel,3,4.0000
Midel,4,3.0000
Minyx,1,4.0000
Mita,3,1.0000
Mita,4,2.0000
Mudo,3,2.0000
Muxo,2,5.0000
Muxo,4,2.0000
Mybuzz,2,4.0000
Mybuzz,3,5.0000
Mycat,1,5.0000
Mycat,2,4.0000
Mycat,3,3.0000
Mydeo,1,4.0000
Mydeo,4,2.5000
Mymm,1,5.0000
Mymm,4,5.0000
Mynte,1,3.3333
Mynte,4,2.6667
Myworks,1,1.0000
Myworks,4,1.0000
Nlounge,4,3.0000
Npath,2,2.0000
Ntag,1,1.0000
Ntag,2,4.0000
Ntag,3,3.0000
Ntag,4,2.0000
Ntags,3,2.0000
Ntags,4,2.0000
Oba,2,4.0000
Oba,3,5.0000
Oba,4,3.0000
Oloo,1,4.0000
Oloo,2,3.0000
Omba,1,3.6667
Ooba,3,3.0000
Oodoo,3,4.0000
Oozz,1,4.0000
Oozz,2,3.5000
Oozz,3,2.0000
Oyoba,2,4.0000
Oyoba,3,3.0000
Oyoloo,1,5.0000
Oyoloo,2,3.0000
Oyonder,1,4.0000
Oyonder,4,1.0000
Oyondu,1,5.0000
Oyondu,2,5.0000
Oyoyo,2,4.0000
Oyoyo,3,2.0000
Ozu,2,1.0000
Ozu,4,5.0000
Photobean,3,3.0000
Photobug,4,1.6667
Photofeed,1,5.0000
Photofeed,2,5.0000
Photojam,3,5.0000
Photolist,1,5.0000
Pixoboo,1,3.0000
Pixoboo,2,2.0000
Pixoboo,3,1.0000
Pixoboo,4,3.0000
Pixonyx,1,4.0000
Pixonyx,2,1.0000
Pixonyx,4,1.0000
Pixope,3,5.0000
Plajo,2,5.0000
Plajo,3,3.3333
Plajo,4,4.0000
Plambee,4,4.0000
Podcat,1,4.0000
Podcat,2,3.0000
Podcat,4,1.0000
Quamba,2,3.0000
Quamba,4,3.5000
Quatz,1,3.3333
Quatz,2,2.5000
Quatz,3,5.0000
Quatz,4,3.0000
Quaxo,1,4.0000
Quaxo,2,3.0000
Quimba,1,3.3333
Quimba,2,3.0000
Quimba,3,2.0000
Quimba,4,2.0000
Quimm,1,4.0000
Quimm,2,1.0000
Quinu,3,2.0000
Quire,2,5.0000
Realblab,2,5.0000
Realblab,3,3.0000
Realblab,4,3.0000
Realbridge,2,5.0000
Realbridge,3,3.0000
Realbuzz,1,4.0000
Realbuzz,2,3.0000
Realbuzz,4,2.0000
Realcube,1,1.0000
Realcube,4,1.0000
Realfire,2,4.0000
Realmix,1,4.0000
Realmix,3,4.0000
Realpoint,2,4.0000
Realpoint,3,5.0000
Rhybox,4,2.0000
Rhycero,2,3.0000
Rhycero,4,3.0000
Rhyloo,1,4.0000
Rhyloo,3,2.0000
Rhyloo,4,1.0000
Rhynoodle,1,5.0000
Rhynyx,1,3.0000
Rhynyx,2,2.0000
Rhynyx,3,3.3333
Rhyzio,1,5.0000
Rhyzio,2,2.0000
Riffpath,2,2.5000
Riffpedia,1,5.0000
Riffwire,1,3.0000
Riffwire,2,2.0000
Roodel,1,4.0000
Roombo,1,1.0000
Roombo,2,2.0000
Roombo,3,3.0000
Roombo,4,3.0000
Rooxo,3,4.0000
Rooxo,4,2.5000
Shufflebeat,2,1.0000
Shuffledrive,1,4.5000
Shuffledrive,2,4.5000
Shuffledrive,3,1.0000
Shufflester,2,5.0000
Shufflester,3,2.0000
Shuffletag,1,1.0000
Shuffletag,3,1.0000
Skaboo,2,1.0000
Skaboo,4,3.0000
Skajo,1,3.0000
Skalith,1,5.0000
Skiba,2,4.0000
Skiba,3,3.0000
Skibox,2,4.0000
Skibox,3,1.0000
Skidoo,1,2.5000
Skidoo,2,5.0000
Skidoo,3,3.0000
Skidoo,4,4.0000
Skilith,2,3.0000
Skilith,3,5.0000
Skilith,4,4.0000
Skimia,1,4.0000
Skimia,2,4.5000
Skimia,3,3.0000
Skinder,1,1.0000
Skinix,1,4.0000
Skinix,2,3.5000
Skinix,4,1.5000
Skinte,1,3.0000
Skinte,2,3.0000
Skinte,3,5.0000
Skipfire,1,2.0000
Skipfire,2,3.0000
Skipfire,3,3.0000
Skippad,1,3.0000
Skippad,2,5.0000
Skippad,3,2.0000
Skippad,4,2.5000
Skipstorm,1,2.0000
Skipstorm,3,2.0000
Skipstorm,4,2.0000
Skiptube,1,3.0000
Skiptube,2,1.0000
Skivee,1,3.6667
Skivee,2,5.0000
Skivee,4,2.0000
Skyba,1,4.0000
Skyba,3,5.0000
Skyble,1,3.0000
Skyble,2,5.0000
Skyble,3,1.0000
Skyndu,1,2.0000
Skyndu,4,2.0000
Skynoodle,1,1.0000
Skynoodle,3,3.0000
Skynoodle,4,1.5000
Skyvu,1,2.0000
Skyvu,2,3.0000
Skyvu,4,5.0000
Snaptags,1,3.0000
Snaptags,2,5.0000
Snaptags,4,3.5000
Tagcat,1,4.5000
Tagcat,3,1.0000
Tagchat,2,4.0000
Tagfeed,2,4.0000
Tagfeed,3,2.0000
Tagopia,1,4.0000
Tagopia,3,1.0000
Tagpad,2,4.0000
Tagtune,1,1.0000
Tagtune,2,3.0000
Talane,2,4.0000
Tambee,3,2.0000
Tambee,4,2.0000
Tanoodle,2,2.0000
Tanoodle,4,1.0000
Tavu,3,2.0000
Tazz,3,2.0000
Tazz,4,5.0000
Tazzy,1,3.0000
Tekfly,4,2.0000
Teklist,1,4.0000
Teklist,2,4.0000
Teklist,3,5.0000
Thoughtbeat,1,4.0000
Thoughtbeat,2,5.0000
Thoughtbeat,3,3.0000
Thoughtblab,2,3.5000
Thoughtbridge,1,5.0000
Thoughtbridge,2,3.0000
Thoughtmix,2,3.5000
Thoughtsphere,2,3.0000
Thoughtsphere,3,5.0000
Thoughtstorm,1,3.0000
Thoughtstorm,4,2.0000
Thoughtworks,1,5.0000
Thoughtworks,3,2.0000
Topdrive,2,5.0000
Topdrive,3,4.0000
Topdrive,4,4.0000
Topiclounge,4,1.0000
Topicshots,3,3.0000
Topicstorm,1,4.0000
Topicstorm,2,3.0000
Topicstorm,3,1.5000
Topicware,2,5.0000
Topicware,4,1.0000
Topiczoom,1,3.0000
Topiczoom,2,3.0000
Trilia,2,4.0000
Trilia,3,2.0000
Trilith,1,5.0000
Trilith,2,1.0000
Trudeo,3,3.0000
Trudoo,1,3.0000
Trudoo,4,3.0000
Trunyx,1,4.0000
Trunyx,2,1.0000
Trunyx,4,3.0000
Trupe,2,2.5000
Trupe,4,1.0000
Twimbo,1,4.0000
Twimbo,2,4.0000
Twimbo,3,1.0000
Twimm,2,5.0000
Twinder,4,3.5000
Twinte,2,5.0000
Twinte,4,2.0000
Twitterbeat,3,3.0000
Twitterbridge,4,1.0000
Twitterlist,1,4.3333
Twitterlist,2,4.0000
Twitterlist,4,2.0000
Twitternation,1,3.0000
Twitternation,2,4.0000
Twitternation,4,2.0000
Twitterwire,1,3.5000
Twitterwire,2,2.0000
Twitterwire,4,1.0000
Twitterworks,1,4.0000
Twitterworks,3,2.5000
Twitterworks,4,1.0000
Twiyo,1,4.0000
Vidoo,1,5.0000
Vidoo,2,1.0000
Vidoo,3,5.0000
Vimbo,2,2.0000
Vimbo,3,3.0000
Vimbo,4,2.0000
Vinder,2,5.0000
Vinder,4,1.0000
Vinte,1,4.0000
Vinte,4,3.0000
Vipe,2,2.3333
Vitz,1,2.0000
Vitz,3,1.5000
Viva,1,2.5000
Voolia,1,3.6667
Voolith,4,2.0000
Voomm,1,3.0000
Voomm,2,1.0000
Voomm,3,4.0000
Voonder,4,2.0000
Voonix,1,3.0000
Voonix,2,3.5000
Voonix,3,2.0000
Voonte,1,4.3333
Voonyx,2,5.0000
Wikibox,1,2.3333
Wikibox,2,5.0000
Wikido,3,5.0000
Wikivu,1,4.0000
Wikivu,2,5.0000
Wikivu,4,3.0000
Wikizz,2,2.0000
Wikizz,3,4.3333
Wordify,4,2.5000
Wordpedia,1,4.0000
Wordtune,1,3.0000
Wordtune,2,3.6667
Yabox,1,5.0000
Yabox,2,5.0000
Yabox,4,2.0000
Yacero,3,4.0000
Yacero,4,4.0000
Yadel,1,3.0000
Yakidoo,1,5.0000
Yakidoo,2,3.0000
Yakidoo,3,2.0000
Yakijo,1,4.0000
Yakijo,2,5.0000
Yakijo,3,1.5000
Yakitri,1,2.5000
Yakitri,3,1.0000
Yambee,1,3.0000
Yambee,2,2.0000
Yambee,3,5.0000
Yamia,1,3.0000
Yamia,2,3.0000
Yata,2,3.0000
Yodel,1,5.0000
Yodel,2,4.0000
Yodo,1,4.3333
Yodo,2,4.0000
Yodo,3,1.0000
Yodoo,2,4.5000
Yodoo,3,5.0000
Yombu,1,1.0000
Yombu,3,2.5000
Yotz,1,5.0000
Yotz,2,5.0000
Yotz,4,1.0000
Youbridge,1,3.0000
Youbridge,2,5.0000
Youbridge,4,3.0000
Youfeed,1,4.0000
Youfeed,2,1.0000
Youfeed,4,2.0000
Youopia,2,5.0000
Youspan,1,5.0000
Youspan,2,3.0000
Youspan,3,1.5000
Yoveo,3,2.0000
Yozio,1,5.0000
Yozio,2,2.0000
Zava,1,2.6667
Zazio,1,5.0000
Zazio,2,1.0000
Zoombeat,1,3.6667
Zoombox,3,3.0000
Zoomcast,1,4.0000
Zoomcast,2,5.0000
Zoomcast,4,2.0000
Zoomdog,1,2.0000
Zoomdog,3,2.5000
Zoomzone,2,3.0000
Zoonder,1,5.0000
Zoonder,2,4.0000
Zoonoodle,1,5.0000
Zoonoodle,2,5.0000
Zoonoodle,4,2.0000
Zooveo,3,3.0000
Zoovu,3,3.0000
Zoovu,4,3.5000
Zooxo,2,5.0000
Zoozzy,1,4.5000
